judul,artis,lirik
Mata ke Hati (Acoustic Ver.),HIVI!,"1 Contributor
Mata ke Hati (Acoustic Ver.) Lyrics
[Verse 1]
Tak pernah ku rasakan cinta
Begitu hebatnya
Sebelum ku kenal kamu
Dunia pun kelabu
[Pre-Chorus]
Dan kau datang membawakan cinta
Yang t'lah lama ku nanti
[Chorus]
Oh, kasihku
Kau membuat cinta
Jatuh dari mata dan turun ke hati
Tawamu buat aku tersenyum lagi
Oh, kasihku
Kau membuat dunia
Indah dijalani, oh
Kuyakini hati kau paling berarti
[Verse 2]
Hanya kamu satu-satunya
Yang ada di hati
Andai saja, kita berdua
Bersama selamanya

[Pre-Chorus]
Dan kau datang membawakan cinta
Yang t'lah lama ku nanti
[Chorus]
Oh, kasihku
Kau membuat cinta
Jatuh dari mata dan turun ke hati
Tawamu buat aku tersenyum lagi
Oh, kasihku
Kau membuat dunia
Indah dijalani, oh
Kuyakini hati kau paling berarti
[Bridge]
Angin seakan membawaku menghampirimu
Dan kau curi, curi hatiku
Kasih maaf bila aku jatuh cinta, oh
[Chorus]
Oh, kasihku
Kau membuat cinta
Jatuh dari mata dan turun ke hati
Tawamu buat aku tersenyum lagi
Oh, kasihku
Kau membuat dunia
Indah dijalani, oh
Kuyakini hati kau paling berarti

[Outro]
Dari mata, turun ke hati
Dari mata, turun ke hati
Dari mata, turun ke hati
Dari mata, turun ke hati
Dari mata, turun ke hati
Dari mata, turun ke hati
Dari mata, turun ke hati
Dari mata, turun ke hati"
Never Hating,Lil Baby,"54 Contributors
Translations
Português
Español
Never Hating Lyrics
[Intro: Lil Baby]
Yeah, yeah, yeah, yeah, yeah
[Verse 1: Lil Baby]
Fresh like the first day of school on the weekend
I put this shit on today, for no reason
Got somethin' to smile about, I fixed up my teeth
Straight from the lot, call up Herm, get it geeked up
Thousand horse power, my car gotta keep up
Act like I'm slow all the time, but I peep stuff
What kinda guy let a bitch keep the beef up?
I let 'em live for a while, now the lease up
Nail in the hammer, I done built it from the ground up
Brodie say he workin', but the bricks, them went down somethin'
They handle the business, I do not go around them
You can get a hundred if you want to, we got pound spots
I'm the one that's really havin' motion, what they talkin' 'bout?
Cars, I done did that, chains, don't need no more
So many clothes, startin' to feel like a hobo
Every milestone, tryna buy me a new home
Potholes keep on fuckin' up the Forgi's
, take the rims off
The way she twist and suck it, like she tryna take the skin off
Bro'n'em, in a striker, but it’s good, we swapped the VINs out
Don't bark up this tree, I make the chopper knock his limb off
Thousand dollars after every road, that’s what they hittin' for
All I do is fuck her, I done turned her to a 
nympho
FN's
, blackouts, Gen5's, Gen4's
Trippin' for the family, I don’t play about my kin folk

[Chorus: Lil Baby]
I took the guys to L.A. for a business meetin'
God, watch my friends, I can handle my enemies
Fuck I look like havin' smoke with my mini-me's?
Niggas gotta be jokin', you kiddin' me?
Y'all real kids, been small-time ballin', now it's real big
I was standin' in the bleachers, on some cheerin' shit
Never been a hater, I don't care enough
This shit ain't gon' stop until they bury us
[Verse 2: Young Thug]
Fresh off the jet, I end up in the projects
See somethin' I like, no police, I'ma cop it
Don’t follow my page, I post racks every day
For these niggas and bitches that's countin' my pockets
Ooh, hurdle this bitch in Huaraches
Lambo', Ferrari, Bentleys, I got options
I took the private jet out to Nevada
4PF CED, they got smoked like a rasta
Trenches with me
Somethin' seem suspicious, somethin' seemin' fishy
I'm four pockets full and look like biscuits
Overprice us and we uppin', uppin'
Fire, fire, fire, fire, that sound sound delicious
You can't use the dishes, in the kitchen cookin'
Woo, woo, litty, can't abort the mission, bitch, I got addictions
I don't do photo, pictures, keep it low and with me, yee

[Chorus: Lil Baby]
I took the guys to L.A. for a business meetin'
God, watch my friends, I can handle my enemies
Fuck I look like havin' smoke with my mini-me's?
Niggas gotta be jokin', you kiddin' me?
Y'all real kids, been small-time ballin', now it's real big
I was standin' in the bleachers, on some cheerin' shit
Never been a hater, I don't care enough
This shit ain't gon' stop until they bury us"
Hating Now,Major Nine,"8 Contributors
Hating Now Lyrics
We be fucking when she come in town
And i fuck wit lil shawty cause she gone hold it down, yeah
(na na na na na na nah)
We be fucking when she come in town
And i fuck wit lil shawty cause she gone hold it down
They was hating back then
I bet they hating now‚ yeah
We be fucking
And i fuck wit lil shawty cause she gone hold it down
They was hating back then
I bet they hating now‚ yeah
You said you was gone be my ryda
I said i don’t believe in no liar
You said we should put this beside us
Now i will spin a block for you
And i will never stop for you
And i get it‚ 30 shots for you
And the whole city drops for you
Long as you keep it G wit me
Show me that you believe in me
Cause i ain’t got nobody and you my only body
Yeah they lied when they said that they got me, yeah
Really from the trenches had some shit i couldn’t mention cause i know that wasn’t you
You wouldn’t know what to do, yeah
But you gone hold it down
And them hoes gotta respect it when you come around‚ yeah

We be fucking when she come in town
And i fuck wit lil shawty cause she gone hold it down
They was hating back then
I bet they hating now, yeah
We be fucking when she come in town
And i fuck wit lil shawty cause she gone hold it down
They was hating back then
I bet they hating now, yeah
I said they only gonna tell you what they want to
They gone slide up in yo DMs cuz they want you
And it’s on you to give em play
Any time a day i think them niggas could wait
So call my phone when you in my city
And you know when you pop up i got my bruddas wit me‚ yeah
Let’s hit shooters i need a porter house
And if you wanna hit the club play pins outside
Cause they fuck wit me yeah they fuck wit me
They turning up wit me , they turning up wit me
Yeaaaah
Show me real love
If you don’t fuck wit me
Middle fingers up
I think they mad at us
Cause they can’t fuck wit us
You gotta hold it down
Don’t let em fuck it up
You gotta hold it down
Don’t let em fuck it up

We be fucking when she come in town
And i fuck wit lil shawty cause she gone hold it down
They was hating back then
I bet they hating now
We be fucking when she come in town
And i fuck wit lil shawty cause she gone hold it down
They was hating back then
I bet they hating now, yeah
We be fucking when she come in town
And i fuck wit lil shawty cause she gone hold it down
They was hating back then
I bet they hating now, yeah
We be fucking when she come in town
And i fuck wit lil shawty cause she gone hold it down
They was hating back then
I bet they hating now, yeah"
Sandaran Hati,Letto,"4 Contributors
Sandaran Hati Lyrics
Yakinkah ku berdiri
Di hempa tanpa tepi
Bolehkah aku
Mendengarmu
Terkubur dalam emosi
Tanpa bisa bersembunyi
Aku dan nafasku
Merindukanmu
Terpuruk ku di sini
Terangi dia yang sepi
Dan ku tahu pasti
Kau menemani
Dalam hidupku
Kesendirianku
Teringat ku teringat
Pada janjimu ku terikat
Hanya sekejap ku berdiri
Kulakukan sepenuh hati
Peduli ku peduli
Siang dan malam yang berganti
Sedihku ini tak ada arti
Jika kaulah sandaran hati
Kaulah sandaran hati
Sandaran hati

Inikah yang kau mau
Benarkah ini jalanmu
Hanyalah engkau yang ku tuju
Pegang erat tanganku
Bimbing langkah kakiku
Aku hilang arah
Tanpa hadirmu
Dalam gelapnya
Malam hariku"
"Yang Patah Tumbuh, Yang Hilang Berganti",Banda Neira,"5 Contributors
Yang Patah Tumbuh, Yang Hilang Berganti Lyrics
Yang
 Patah Tumbuh, Yang Hilang Berganti
[Verse 1]
Jatuh dan tersungkur di tanah aku
Berselimut debu sekujur tubuhku
Panas dan menyengat
Rebah dan berkarat
[Chorus]
Yang, yang patah tumbuh, yang hilang berganti
Yang hancur lebur akan terobati
Yang sia-sia akan jadi makna
Yang terus berulang suatu saat henti
Yang pernah jatuh 'kan berdiri lagi
Yang patah tumbuh, yang hilang berganti
[Verse 2]
Dimana ada musim yang menunggu?
Meranggas merapuh
Berganti dan luruh
Bayang yang berserah
Terang di ujung sana
[Chorus]
Yang, yang patah tumbuh, yang hilang berganti
Yang hancur lebur akan terobati
Yang sia-sia akan jadi makna
Yang terus berulang suatu saat henti
Yang pernah jatuh 'kan berdiri lagi
Yang patah tumbuh, yang hilang berganti

Yang patah tumbuh, yang hilang berganti
Yang hancur lebur akan terobati
Yang sia-sia akan jadi makna
Yang terus berulang suatu saat henti
Yang pernah jatuh 'kan berdiri lagi
Yang patah tumbuh, yang hilang berganti
Yang patah tumbuh, yang hilang berganti
Yang hancur lebur akan terobati
Yang sia-sia akan jadi makna
Yang terus berulang suatu saat henti
Yang pernah jatuh 'kan berdiri lagi
Yang patah tumbuh, yang hilang berganti"
Patah Seribu,Shila Amzah,"3 Contributors
Patah Seribu Lyrics
Walau kau tiada di sini
Ku tetap ingat semua pesanmu
Ku hidup seolah-olah kau masih ada
Bisikan kata kepadaku
Bilakah kau akan utuskan surat buatku
Aku terus menunggu tibanya kata cintamu
Oh... Patah seribu hatiku
Bila mengenangkan segala yang kita bina bersama
Haruskah ku lupa kerna engkau telah pergi
Biar pergimu tanpa relamu
Namun hatiku tetap rasa
Kejamnya kau meninggalkanku dengan nota-nota
Cinta buat kita berdua bila kan ku bisa menerima ketiadaanmu
Kan ku bakar semua hapuskan semua kenangan
Patah seribu hatiku
Bila mengenangkan segala yang kita bina bersama
Haruskah ku lupa kerna engkau telah pergi
Sayangku mohon padamuera tinggalkanku
Pergilah kau ke tempat yang kau tuju
Pasti ada hikmah buatmu dan juga buat diriku
Pergilah"
Terlatih Patah Hati,The Rain (Indonesia),"1 Contributor
Terlatih Patah Hati Lyrics
[Verse 1]
Aku sudah mulai lupa
Saat pertama rasakan lara
Oleh harapan yang pupus
Hingga hati cedera serius
Terima kasih kalian
Barisan para mantan
Dan semua yang pergi
Tanpa sempat aku miliki
[Pre-Chorus]
Tak satupun yang aku sesali
Hanya membuatku semakin terlatih, oh
[Chorus]
(Begini rasanya) Terlatih patah hati
(Hadapi getirnya) Terlatih disakiti
Bertepuk sebelah tangan?
Sudah biasa
Ditinggal tanpa alasan?
Sudah biasa
Terluka itu pasti, tapi aku tetap bernyanyi
[Verse 2]
Lama tak ku dengar tentangnya
Yang paling dalam tancapkan luka
Satu hal yang aku tahu
Terkadang dia juga rindu
Terima kasih kalian
Barisan para mantan
Dan semua yang pergi
Tanpa sempat aku miliki

[Pre-Chorus]
Tak satupun yang aku sesali
Hanya membuatku semakin terlatih, oh
[Chorus]
(Begini rasanya) Terlatih patah hati
(Hadapi getirnya) Terlatih disakiti
Bertepuk sebelah tangan?
Sudah biasa
Ditinggal tanpa alasan?
Sudah biasa
Terluka itu pasti, tapi aku tetap bernyanyi
[Instrumental]
[Chorus]
(Begini rasanya) Terlatih patah hati
(Hadapi getirnya) Terlatih disakiti
Bertepuk sebelah tangan?
Sudah biasa
Ditinggal tanpa alasan?
Sudah biasa
Terluka itu pasti, tapi aku tetap bernyanyi
Ooh"
Patah Hati,Hafiz Suip,"3 Contributors
Patah Hati Lyrics
Apa aku telah lakukan
Kesalahan yang mendalam
Sampai hati kau lakukan itu
Kali ini ku tak a
Menerima kenyataan
Kau tak lagi setia padaku
Aku patah hati
Sungguh-sungguh aku patah hati
Kernamu
Kali ini ku tak a
Menerima kenyataan
Kau tak lagi setia padaku oh
Aku patah hati
Sungguh-sungguh aku patah hati
Kerna mu
Aku akan pergi kerna kamu
Terlanjur menyakiti hati ku
Aku patah hati
Sungguh-sungguh aku patah hati
Kerna mu

Aku akan pergi kerna kamu
Terlanjur menyakiti hati ku
Hati ku patah hati
Hati ku patah hati"
Sayap-Sayap Patah,Dewa,"1 Contributor
Sayap-Sayap Patah Lyrics
[Verse 1]
Sayangku, kumohon tetap di sini
Temani jasadku yang belum mati
Rohku melayang tak kembali bila kau pun pergi
Meninggalkan yang terbaik bagi kita semua
[Chorus]
Kucoba kembangkan sayap patahku
'Tuk terbang tinggi lagi di angkasa
Melayang melukis langit merangkai awan-awan mendung
[Verse 2]
Sayangku, kumohon tetap di sini
Temani jasadku yang belum mati
Rohku melayang tak kembali bila kau pun pergi
Meninggalkan yang terbaik bagi kita semua
[Chorus]
Kucoba kembangkan sayap patahku
'Tuk terbang tinggi lagi di angkasa
Melayang melukis langit merangkai awan-awan mendung
[Interlude]
[Chorus]
Kucoba kembangkan sayap patahku
'Tuk terbang tinggi lagi di angkasa
Melayang melukis langit merangkai awan-awan mendung
Kucoba kembangkan sayap patahku
'Tuk terbang tinggi lagi di angkasa
Melayang melukis langit merangkai awan-awan mendung
Kucoba kembangkan sayap patahku
'Tuk terbang tinggi lagi di angkasa
Melayang melukis langit merangkai awan-awan mendung
Kucoba kembangkan sayap patahku
'Tuk terbang tinggi lagi di angkasa
Kucoba kembangkan sayap patahku
'Tuk terbang tinggi lagi di angkasa
Kucoba kembangkan sayap patahku"
Patah,Iwan Fals,"4 Contributors
Patah Lyrics
Tak mudah untukku
Melupakan semua
Yang pernah terjadi
Kau begitu dalam
Tlah tertanam di hati
Dan hidupku
Kusesali semua
Kehilangan dirimu
Membuatku tersadar
Apa yang harus aku lakukan
Bila kau pergi tinggalkanku?
Sungguh ku tak bisa jauh
Dari dirimu
Apa yang harus aku katakan
Bila cinta yakinkan aku
Sungguh kau buat diriku
Patah hati
Kusesali semua ini
Ku kehilangan dirimu
Apa yang harus Aku lakukan
Bila kau pergi tinggalkanku
Sungguh ku tak bisa jauh
Dari dirimu
Apa yang harus aku katakan
Bila cinta yakinkan aku
Sungguh kau buat diriku
Sungguh kau buat diriku
Sungguh kau buat diriku
Patah hati"
Patah,Padi,"3 Contributors
Patah Lyrics
[Intro]
[Verse 1]
Bagai serpih-serpih pasir di pantai
Tersapu gelombang pasang
Meski harus hilang terpecah karang
Meninggalkan kenangan abadi
[Verse 2]
Ada tersimpan rasa perih mendera
Mengingat engkau di saat itu
Masih tentang cerita engkau dan dia
Yang tak pernah terukir indah
[Chorus]
Kau bawa aku renungi apa yang terjadi
Kau bawa aku resapi semua tangismu itu
Memelukmu kuingin
Menyentuhmu kuingin
Dan mengucapkan sepatah kata
[Verse 3]
Namun air mata mesti tercurah
Memandu cerita itu
Jiwamu tak mampu menahan semua
Ketidakberdayaan ini

[Chorus]
Kau patahkan semua cerita hidupmu
Kau remukkan harapan yang tumbuh di hati
Memelukmu kuingin
Menyentuhmu kuingin
Dan mengucapkan sepatah kata
[Instrumental]
[Outro]
Bagai serpih-serpih pasir di pantai
Tersapu gelombang pasang"
Senapang Patah (Demo),Kaleidoscope Flowers,"2 Contributors
Senapang Patah (Demo) Lyrics
[Intro: Hamtaro & 
Luqmanul Hakim
]
Check, check
It's not too loud innit?
No it's not
Oh, alright
Aah!
Ha-ha, kay-kay
[Verse 1]
Cuba ku cuba mencuba mencuba
Mencuba lupakan segala masalah
Ku cuba mengawal tapi tak terkawal
Serabut kepala menghadap hari sial, go;
(Duh)
[Verse 2]
Sakit kepala ku loya termuntah
Solusi ku hanya berteriak sahaja
Rasa seperti ditunggu Si Mati
Fikirkan bilakah tiba masanya ku nanti;
[Chorus?]
Jadi ku gali kubur oh dari hari ke hari
Pedih luka ini tak terasa lagi"
Tak Patah,Steve Chris,"1 Contributor
Tak Patah Lyrics
Tak mudah tuk bertahan
Menggapai cita cita
Banyak yang kan mencoba
Tuk mematahkan kita
Ku ingin membuktikan
Bahwa ku pasti bisa
Ku kan tetap berjuang
Walau sulit adanya
Kau acuhkan
Aku tak patah
Kau hentikan
Ku tetap berjalan
Karena ku
Takkan menyerah
Dengan keadaan
Kau acuhkan
Aku tak patah
Ku jatuh dan ku lelah
Ku akhiri citaku
Mereka tertawa
Menghakimi
Hingga ingin ku lucuti semua mimpi
Ku sendiri dan tertatih
Tak satupun percaya dengan diri ini
Ku sedih ku kesal ku ragu ku marah ku gusar ku geram terbakar

Ingin ku kubuktikan
Bahwa ku pasti bisa
Menjalani mimpi
Yang ku ingini
Tetap berdiri
Menjalani hari
Menikmati simfoni
Oooohhh
Kau acuhkan
Aku tak patah
Kau hentikan
Ku tetap berjalan
Karena ku
Takkan menyerah
Dengan keadaan
Kau acuhkan
Aku tak patah"
Patah Hati,Dato’ Sri Siti Nurhaliza,"4 Contributors
Patah Hati Lyrics
[Verse 1]
Patah hatiku
Membawa derita
Merajuklah diri
Merajuk diri
Tak tentu haluan
[Verse 1 – repeated]
Patah hatiku
Membawa derita
Merajuklah diri
Merajuk diri
Tak tentu haluan
[Verse 2]
Ku harap janjimu
Ku harap janjimu
Bahagia selalu
Sayang
Rupanya patah
Rupanya patah
Di tengahlah jalan
[Verse 2 – repeated]
Ku harap janjimu
Ku harap janjimu
Bahagia selalu
Sayang
Rupanya patah
Rupanya patah
Di tengahlah jalan

[Instrumental break – Accordion Solo]
[Verse 3]
Patahlah hati
Teruslah merajuk
Merajuklah sampai
Merajuk sampai
Ke hutan belukar
[Verse 3 – repeated]
Patahlah hati
Teruslah merajuk
Merajuklah sampai
Merajuk sampai
Ke hutan belukar
[Verse 4]
Hati yang panas
Hati yang panas
Kembalilah sejuk
Sayang
Burung terbang
Burung terbang
Sangkar balik ke sangkar
[Verse 4 – repeated]
Hati yang panas
Hati yang panas
Kembalilah sejuk
Sayang
Burung terbang
Burung terbang
Sangkar balik ke sangkar"
Heroes Tonight,Janji,"18 Contributors
Heroes Tonight Lyrics
[Verse 1]
I'm walkin' alone, the streets are empty
The only thing I can see is my own silhouette
I'm gettin' stronger, step by step
The clock is tickin', but there's no time for regrets
[Pre-Chorus]
I've been flyin' from town to town
From London to Taiwan
I've been all around the globe
Tryin' to protect your soul
[Chorus]
We are heroes tonight
We will fly above the sky
We are heroes tonight, yeah
We are heroes tonight
We will fly above the sky
We are heroes tonight, yeah
[Drop]
Night, yeah
[Verse 2]
I'm feelin' like a dynamite
Ready to explode right up in the sky
I need you to listen, I need you to hear
And don't show any fear

[Pre-Chorus]
I've been flyin' from town to town
From London to Taiwan
I've been all around the globe
Tryin' to protect your soul
[Chorus]
We are heroes tonight
We will fly above the sky
We are heroes tonight, yeah
We are heroes tonight
We will fly above the sky
We are heroes tonight, yeah
[Build]
We are heroes tonight, yeah
[Drop]
Night, yeah
We are heroes tonight
We will fly above the sky
We are heroes tonight, yeah
[Outro]
I've been flyin' from town to town
From London to Taiwan
I've been all around the globe
Tryin' to protect your soul"
Janji Suci,Yovie & Nuno,"1 Contributor
Janji Suci Lyrics
[Verse 1]
Dengarkanlah, wanita pujaanku
Malam ini akan kusampaikan
Hasrat suci, kepadamu dewiku
Dengarkanlah kesungguhan ini
[Pre-Chorus]
Aku ingin, mempersuntingmu
Tuk yang pertama
Dan terakhir
[Chorus]
Jangan kau tolak dan buatku hancur
Ku tak akan mengulang tuk meminta
Satu keyakinan hatiku ini
Akulah yang terbaik untukmu
[Verse 2]
Dengarkanlah, wanita impianku
Malam ini akan kusampaikan
Janji suci, satu untuk selamanya
Dengarkanlah kesungguhan ini
[Pre-Chorus]
Aku ingin, mempersuntingmu
Tuk yang pertama
Dan terakhir

[Chorus]
Jangan kau tolak dan buatku hancur
Ku tak akan mengulang tuk meminta
Satu keyakinan hatiku ini
Akulah yang terbaik untukmu
[Interlude]
[Chorus]
Jangan kau tolak dan buatku hancur
Ku tak akan mengulang tuk meminta
Satu keyakinan hatiku ini
Akulah yang terbaik untukmu
Jangan kau tolak dan buatku hancur
Ku tak akan mengulang tuk meminta
Satu keyakinan hatiku ini
Akulah yang terbaik untukmu
[Post-Chorus]
Akulah yang terbaik untukmu
Ooh oh ooh oh ooh oh ooh oh ooh"
Di penjara janji,Awie,"2 Contributors
Di penjara janji Lyrics
Hatiku digirisnya lagi
Kali ini lebih dalam dan pedih
Kerna aku sudah berjanji
Dia cinta ku yang terakhir
Sungguh tak pernah ku menduga
Dia akan mengulanginya semula
Sanggup untuk menodai cinta
Dan membiarkan aku sengsara
Dia tempat ku sandar
Angan ku pendamkan
Satu percintaan
Yang bisa ku jadikan
Tangga-tangga ku ke pintu syurga
Meleraikan rindu
Mengecap bahagia
Yang kerap dimadah
Insan yang murni
Yang dah rasakan cinta
Yang aku... mimpi"
Janji Padamu - 2066257,Exists,"3 Contributors
Janji Padamu - 2066257 Lyrics
Tiada kusangka sejak detik itu
Kau membuka pintu kamar dihatiku
Cinta yang terhampar satu tika dulu
Bersinar kembali
Pandainya dikau mencuri hatiku
Dengan kejujuran dan tingkah lakumu
Memberikan aku satu keyakinan
Mendungkan berlalu
Akan kupertahankan cinta ini
Demi kesetiaan kupadamu
Akan kutempuhi onak duri
Demi untukmu bidadari
Percayalah janjiku ini
Andainya kau jauh dariku
Dekat dihatiku
Andainya kau yang pergi dulu
Hampalah cintaku
Jangan tinggalkan ku
Jangan persiakan cinta yang murni
Akan kupertahankan cinta ini
Demi kesetiaan kupadamu
Akan kutempuhi onak duri
Demi untukmu bidadari
Percayalah janjiku ini
Andainya kau jauh dariku
Dekat dihatiku
Andainya kau yang pergi dulu
Hampalah cintaku
Jangan tinggalkan ku
Jangan persiakan cinta yang murni
Andainya kau jauh dariku
Dekat dihatiku
Andainya kau yang pergi dulu
Hampalah cintaku
Jangan tinggalkan ku
Jangan persiakan cinta yang murni"
Janji,GIGI,"1 Contributor
Janji Lyrics
[Intro]
Wee-yeaah
Wee-oooh
Wee-yeaah
Wee-oooh
[Verse 1]
Saat ini kumencoba
Ingkari hari dengan janji
Untuk wujudkan semua impian
Yang s'lalu menggoda, s'lalu menggoda
[Verse 2]
Takkan kulepas lagi
Semua waktuku dan waktumu
Di saat kita dipacu rindu
Semakin dalam, semakin dalam
[Chorus]
(wee-yeah) Oh janjiku, takkan kulepas
(wee-oooh) Selamanya
(wee-yeah) Oh janjiku, kuikuti
(wee-oooh) kata hatiku
[Verse 3]
Saat ini kumencoba
Ingkari hari dengan janji
Untuk wujudkan semua impian
Yang s'lalu menggoda, s'lalu menggoda

[Verse 4]
Takkan kulepas lagi
Semua waktuku dan waktumu
Di saat kita dipacu rindu
Semakin dalam, semakin dalam
[Chorus]
(wee-yeah) Oh janjiku, takkan kulepas
(wee-oooh) Selamanya
(wee-yeah) Oh janjiku, kuikuti
(wee-oooh) kata hatiku
(wee-yeah) Oh janjiku, takkan kulepas
(wee-oooh) Selamanya
(wee-yeah) Oh janjiku, kuikuti
(wee-oooh) kata hatiku
[Instrumental]
[Chorus]
(wee-yeah) Oh janjiku, takkan kulepas
(wee-oooh) Selamanya
(wee-yeah) Oh janjiku, kuikuti
(wee-oooh) kata hatiku
(wee-yeah) Oh janjiku, takkan kulepas
(wee-oooh) Selamanya
(wee-yeah) Oh janjiku, kuikuti
(wee-oooh) kata hatiku"
Janji,PROJEKT GENESIS,"6 Contributors
Janji Lyrics
“Janji” adalah lagu kolaborasi antara Muse Indonesia dengan berbagai vtuber Indonesia, baik dari agensi maupun vtuber independen, bernama PROJEKT GENESIS. Dilansir dari KAORI Nusantara, lagu ini dirilis dalam… 
Read More
 
[Lirik ""Janji"" oleh PROJEKT GENESIS]
[Intro]
(Ku janji 'kan kembali)
[Verse 1: Jaret, 
Evelyn
, 
Akemi
, 
Stella
]
Mengarungi berjuta rupa warna dan merdu suara dunia
Menikmati kilauan indah gemerlap megah alam realita
Aku lihat dan aku dengar paduan seni yang menyentuh jiwa
Rasi bintang menjadi saksi langkah kakiku yang mengitari bumi ini
[Pre-Chorus: Andi, 
Nia
, 
Andi & Nia
]
Meski jagat raya 'ku singgahi
Semesta 'ku arungi
Namun kamu tetap berlabuh di hati
Tetap di sanubari
Aral melintang tak lengah 'tuk pulang
[Chorus: Mythia, Keita, Risu, Reine & Reynard]
Pastiku kan kembali
Ke tanah ini
Untuk terus curahkan bakti
Aku tepati janji
Akan kembali
Untuk terus luangkan hati
Ku berjanji

[Verse 2: Bio, 
Fei
, 
Arisa
, 
Koshka
]
Menatap langit, menyentuh hati
Mengingat jejak yang kupijaki
Berbagai dimensi yang tak henti kujelajahi
Semua kukenang dalam memori
[Verse 3: Daem, 
Hibiki
, 
Yuta
, 
Tsuyu
]
Mеngitari berbagai alam penuh dengan hikayat yang mеmukau
Mencintai aneka rupa dengan paras yang indah dan menawan
Aku lihat dan aku dengar lantunan melodi yang terlukiskan
Biru langit menjadi saksi awal mimpiku 'tuk meninggalkan jejak kaki
[Pre-Chorus: Jaret, 
Kanna
, 
Keita
, 
Reynard
]
Meski cahaya trus kulalui
Sinar yang mengobati
Namun kamu tetap benderang di hati
Tetap dalam nurani
Aral menghadang kau tetap kukenang
[Instrumental Bridge]
[Post-Bridge: Evelyn, 
Stella
, 
Tsuyu
, 
Arisa
]
Pastiku kan kembali
Ke tanah ini
Untuk terus curahkan bakti
Aku tepati janji
Akan kembali
Untuk terus luangkan hati

[Chorus: All]
Walau waktu berganti
Ku tak peduli
Tanahku lah paling berarti
Selama ku di sini
Ku kan bernyanyi
Lepaskan rindu dalam hati
Ku berjanji"
Janji Palsu,Hindia,"8 Contributors
Janji Palsu Lyrics
[Lirik “Janji Palsu”]
[Verse 1]
Sukses hanya dipinjamkan, dan mungkin aku penyewa yang lihai
Hidup dalam angan-angan, di dalam kepala sibuk bertikai
Cinta dan hal banal lain disobek bagaikan kain
Dijual sesuai berat, dipakai untuk bermain
Semua tak terkecuali hingga nihil direduksi
Jadi produk nan terkini sekecil serbuk gergaji
[Pre-Chorus]
Kata-kata kosong yang kerap kujual
Kali ini menuntut tumbal
[Chorus]
Per hari ini kita semua mati rasa
Atas berbagai lirik berisi semesta
Yang berkata semua indah pada waktunya
Kau tahu hidup ini tak ada artinya
[Verse 2]
Dijual grosir oleh yang kanan, dimaki habis di jaringan kiri
Dilepeh najis oleh yang mapan, ditekan habis bak anak tiri
Batinku sebatas bahan, guyon, gelak tawa kalian
Imanku sebatas bahan, makian Peradaban, bosan

[Bridge]
Kurasa kau tak akan takut malam ini
Melihat namamu jadi target caci maki
Seringku berfantasi untuk bunuh diri
Agar kau merasa bеrsalah sampai mati
[Chorus]
Per hari ini kita semua mati rasa
Atas berbagai lirik bеrisi semesta
Yang berkata semua indah pada waktunya
Kau tahu hidup ini tak ada artinya
[Outro]
Kau tahu ku tak minta dilahirkan juga
Kutahu semua uang ini tak berada
Kutahu karier ini tak ada artinya
Kesuksesanku dipinjamkan sementara
Janji palsu dunia"
Janji Wibawa,Vira Talisa,"3 Contributors
Janji Wibawa Lyrics
Lirik ""Janji Wibawa""
[Verse 1]
Bayang berawan menyusuri kalbu
Tak sadar aku telah lama tertegun
Teringat tentang bahagia yang dulu
Dibuat masuk menembus khayalan pikiranku
[Pre-Chorus]
Namun indah yang kau janji
Tak terjaga dan t'lah terhenti
[Chorus]
Kucoba bertahan
Pada wibawa yang tersisa
[Verse 2]
Sadarkah wahai penghibur hariku?
Sekarang engkau tak lagi seperti dirimu
[Pre-Chorus]
Kau hilangkan semua arti
Seakan-akan tak peduli
[Chorus]
Apa artinya jikalau wibawa
Hanyalah kata yang merdu
Namun adanya janji wibawa yang tercipta

[Instrumental]
[Bridge]
Terang menggelap
Nyata terungkap
Kan menjadi makna baru
Yang awalnya tertampak gembira
Malam menjelang
Pagi terbungkam
Kan menjadi rasa haru
Dan akhirnya tertangkap gelisah
[Outro]
Apa artinya jikalau wibawa
Hanyalah kata belaka
Namun nyatanya janji wibawa t'lah tercipta"
