judul,artis,lirik
Titip Rindu Buat Ayah,Ebiet G. Ade,"2 Contributors
Titip Rindu Buat Ayah Lyrics
[Lirik ""Titip Rindu Buat Ayah"" Ebiet G. Ade]
[Verse 1]
Dimatamu masih tersimpan selaksa peristiwa
Benturan dan hempasan terpahat dikeningmu
Kau nampak tua dan lelah, keringat mengucur deras
Namun kau tetap tabah hm...
Meski nafasmu kadang tersengal
Memikul beban yang makin sarat
Kau tetap bertahan
[Chorus]
Engkau telah mengerti hitam dan merah jalan ini
Keriput tulang pipimu gambaran perjuangan
Bahumu yang dulu kekar, legam terbakar matahari
Kini kurus dan terbungkuk hm...
Namun semangat tak pernah pudar
Meski langkahmu kadang gemetar
Kau tetap setia
[Verse 2]
Ayah, dalam hening sepi kurindu
Untuk menuai padi milik kita
Tapi kerinduan tinggal hanya kerinduan
Anakmu sekarang banyak menanggung beban

[Chorus]
Engkau telah mengerti hitam dan merah jalan ini
Keriput tulang pipimu gambaran perjuangan
Bahumu yang dulu kekar, legam terbakar matahari
Kini kurus dan terbungkuk hm...
Namun semangat tak pernah pudar
Meski langkahmu kadang gemetar
Kau tetap setia"
Celengan Rindu,Fiersa Besari,"5 Contributors
Celengan Rindu Lyrics
[Verse 1]
Aku kesal dengan jarak yang sering memisahkan kita
Hingga aku hanya bisa berbincang denganmu di 
Whatsapp
Aku kesal dengan waktu yang tak pernah berhenti bergerak
Barang sejenak agar aku bisa menikmati tawamu
[Pre-Chorus]
Inginku berdiri di sebelahmu menggenggam erat jari-jarimu
Mendengarkan lagu Sheila on 7 seperti waktu itu
Saat kau di sisiku
[Chorus]
Dan tunggulah aku di sana memecahkan celengan rinduku
Berboncengan denganmu mengelilingi kota
Menikmati surya perlahan menghilang
Hingga kejamnya waktu menarik paksa kau dari pelukku
Lalu kita kembali menabung rasa rindu
Saling mengirim doa, sampai nanti, Sayangku
[Verse 2]
Jangan matikan HP-mu
Kau tahu aku benci khawatir
Saat kau tak mengabari
Aku tak suka bertanya-tanya
[Pre-Chorus]
Ingin kubakar dia yang sering 
mention-mention
-an denganmu di 
Twitter
Namun kau selalu meyakinkanku 'tuk tumbuhkan percaya
Bukan rasa curiga

[Chorus]
Dan tunggulah aku di sana memecahkan celengan rinduku
Berboncengan denganmu mengelilingi kota
Menikmati surya perlahan menghilang
Hingga kejamnya waktu menarik paksa kau dari pelukku
Lalu kita kembali menabung rasa rindu
Saling mengirim doa, sampai nanti, Sayangku
[Outro]
Hingga kita bertemu"
Rindu Sendiri (Dilan 1990),Iqbaal Ramadhan,"16 Contributors
Rindu Sendiri (Dilan 1990) Lyrics
[Verse 1]
Suara motor itu semakin mendekat
Kamu abaikan sapanya
Dia berupaya mencari senyummu
Dengan rayuan yang pelik
[Pre-Chorus]
Waktu demi waktu pun berlalu
Keinginanmu mulai tumbuh
[Chorus]
Biar dia merindukanmu sendiri
Jangan resah, dia pasti pikirkanmu
Walau kau tak tahu
Hingga di ujung malam
[Verse 2]
Engkau menyusuri jalan bersamanya
Dikala dinginnya senja
Hanya berduaan tanpa tahu tujuan
Bahkan tidak mau tahu
[Pre-Chorus]
Namun sudah saatnya untuk pulang
Tak ingin kau akhiri hari itu

[Chorus]
Biar dia merindukanmu sendiri
Jangan resah, dia pasti pikirkanmu
Walau kau tak tahu
Hingga di ujung malam
[Chorus]
Biar dia merindukanmu sendiri
Jangan resah, dia pasti pikirkanmu
Walau kau tak tahu
Hingga di ujung malam"
Ruang Rindu,Letto,"4 Contributors
Ruang Rindu Lyrics
Di daun yang ikut mengalir lembut
Terbawa sungai ke ujung mata
Dan aku mulai takut terbawa cinta
Menghirup rindu yang sesakkan dada
Jalanku hampa dan kusentuh dia
Terasa hangat oh didalam hati
Kupegang erat dan kuhalangi waktu
Tak urung jua kulihatnya pergi
Tak pernah kuragu dan slalu kuingat
Kerlingan matamu dan sentuhan hangat
Ku saat itu takut mencari makna
Tumbuhkan rasa yang sesakkan dada
[Chorus]
Kau datang dan pergi oh begitu saja
Semua kutrima apa adanya
Mata terpejam dan hati menggumam
Di ruang rindu kita bertemu
Kau datang dan pergi oh begitu saja
Semua kutrima apa adanya
Mata terpejam dan hati menggumam
Di ruang rindu kita bertemu
Bertemu"
Just Missing You (Hanya Rindu),Emma Heesters,"6 Contributors
Just Missing You (Hanya Rindu) Lyrics
[Verse 1]
When I am by myself
Looking at photos and videos
That we took
I’ve been keeping them for so long
And with my broken heart
I see all the pictures of myself
Living life without you just feels so wrong
[Chorus]
I want you to be here with me
I know it sounds crazy
I miss your laugh and
I miss everything
We used to be
And even if it is just for a while
Then God please give us the time
I can’t deal with the reality
There’s nothing left that i can do
Cause my heart is just missing you
[Verse 2]
I tried everything
Every way i could forget you
Just so I can live my life without you, oh
Nothing is the same
It's hard for me
To erase all of the memories I have with you

[Chorus]
I want you to be here with me
I know it sounds crazy
I miss your laugh and
I miss everything
We used to be
And even if it is just for a while
Then God please give us the time
I can’t deal with the reality
There’s nothing left that i can do
Cause my heart is just missing you, oh
Just missing you, oh
[Chorus]
I want you to be here with me
I know it sounds crazy
I miss your laugh and
I miss everything
We used to be
And even if it is just for a while
Then God please give us the time
I can’t deal with the reality
There’s nothing left that i can do
I can’t deal with the reality
There’s nothing left that i can do
Cause my heart is just missing you, oh
Cause my heart is just missing you, oh
It’s your smile that I miss from you"
Menahan Rindu,Wany Hasrita,"3 Contributors
Menahan Rindu Lyrics
[Verse 1]
Sejenak kutermenung
Awan pun mulai murung
Tiada siulan-siulan burung-burung
Menemani hariku menemani sepiku
Tersiksa angkara menanggung rindu
[Chorus]
Oh, angin kau kirimkan kalimah kasihku
Agar dapat kudengari kalamnya berbunyi
Biarpun sekadar cuma memujuk hati
Akan ku terus berdiri hadapi semua ini
[Post-Chorus]
Biarlah ku bersendirian
Terkurung dalam kenangan silamku
Biarlah aku menahan rindu
[Chorus]
Oh, angin kau kirimkan kalimah kasihku
Agar dapat ku dengari kalamnya berbunyi
Biarpun sekadar cuma memujuk hati
Akan ku terus berdiri hadapi semua ini
Oh, hati kau sedarilah kenyataan ini
Agar dapat ku gagahi dan terus berdiri

[Post-Chorus]
Biarlah ku bersendirian
Terkurung dalam kenangan silamku
Biarlah aku menahan rindu
Menahan rindu"
Ku Di Halaman Rindu,Lefthanded,"1 Contributor
Ku Di Halaman Rindu Lyrics
Di tengah kepekatan malam
Berdiri aku di halaman rindu
Dihembus kenangan lalu
Menjelma seraut wajah
Sekuntum bunga yang pernah ku puja
Tapi layu akhirnya
Ingin ku tembus tembok silam
Dan membaiki kesilapan kita
Yang tiada kita rasa
Dahulu maaf tak bererti
Darah muda menguasai diri
Gitu mudah membenci
Ku di halaman rindu
Hanya berteman bunga yang layu
Ku di halaman rindu
Tiada harum tiada madu
Oh kesalku membeku di kalbu
Oh sayangku penawar rindu
Oh kasih ku hanyalah untuk mu"
Rindu Serindu Rindunya,Exists,"1 Contributor
Rindu Serindu Rindunya Lyrics
Berikanlah jawaban
Huraikanlah simpulan
Biar tenang jiwaku
Setelah kasih lama berlalu
Tidak mungkin ku lupa
Perjanjian kita
Di bawah rumpun bambu
Di kala bulan sedang beradu
* Mengapa terjadi perpisahan ini
Di kala asmara melebar sayapnya
Mengapa kau pergi di saat begini
Di kala hatiku terlukis namamu
Kalau memang tiada jodoh
Apa lagi Aku heboh
Aku malu pada teman
Pada semua
Rindu... rindu serindu-rindunya
Namun engkau tak mengerti
Pilu... pilu sepilu-pilunya...
Namun engkau tak peduli
Malu. semalu-malunya
Namun apa daya
Orang tak sudi
Mahu. semahu-mahunya
Namun apa daya Orang Dah Benci

Mengapa terjadi perpisahan ini
Di kala asmara melebar sayapnya
Mengapa kau pergi di saat begini
Di kala hatiku terlukis namamu
Kalau memang tiada jodoh
Apa lagi Aku heboh
Aku malu pada teman
Pada semua...
Rindu... rindu serindu-rindunya
Namun engkau tak mengerti
Pilu... pilu sepilu-pilunya...
Namun engkau tak peduli
Malu. semalu-malunya
Namun apa daya
Orang tak sudi
Mahu. semahu-mahunya
Namun Apa Daya
Orang dah benci
Berikanlah jawapan
Huraikanlah simpulan
Biar tenang jiwaku
Aku Malu"
Rintihan Rindu,Wany Hasrita,"2 Contributors
Rintihan Rindu Lyrics
Tirai malam melabuhkan
Kenangan kita bersama
Dan bersaksikan
Gerimis yang memilukan
Sungguh lintuh hati ini
Bagai dihiris sembilu
Dan menarilah
Irama yang menyedihkan
Walau hati ku menangis
Walau jiwa ku merintih
Rindu yang bertamu
Meruntun ragaku...
Dalam beribuan bintang
Yang sering bergemerlapan
Tanpa ku sedari
Rembulan pun menyuram
Andai takdir menyuratkan
Kisah terhenti di sini
Akan ku abadikan
Segala memori
Untukmu kekasihku...

Walau hati ku menangis
Walau jiwa ku merintih
Rindu yang bertamu
Meruntun ragaku...
Dalam beribuan bintang
Yang sering bergemerlapan
Tanpa ku sedari
Rembulan pun menyuram
Andai takdir menyuratkan
Kisah terhenti di sini
Akan ku abadikan
Segala memori
Untukmu kekasihku...
Jika ini sebuah pengakhiran
Yang sempurna.."
Bila Rindu,Ruffedge,"2 Contributors
Bila Rindu Lyrics
Dikeheningan malam
Termenungku berseorang
Tak lena mata dipejam
Terdengar suara terngiang
Suara merdu yg di sayang
Bagai kau didepan mata
Ku capai tapi tak kena
Sukarnya memendam rasa
Ingin ku luahkan kata
Bila rindu,terkenang mu siang terasa sayu
Syahdunya jiwaku bila malam,makin kelam
Jauh terbang diriku melayang
Aku rindu,sentuhan mu ku rasa sayu
Inginkan jiwamu selubungi,jiwa ini,bawa ku dlm pelangi
Melepasi segala hati ini
Jauh angan ku lena,ku rasa kita bersama,kau bawaku ke sana
Ke alam kisah yg lama,kenangan di dlm jiwa..
Bila tersedar semula,disisiku kau tiada
Sukarnya ku pendam rasa,ingin ku luahkan semua ooooouuu
Bila rindu,terkenang mu siang terasa sayu
Syahdunya jiwaku bila malam,makin kelam
Jauh terbang diriku melayang
Aku rindu,sentuhan mu ku terasa sayu
Inginkan jiwamu selubungi,jiwa ini,bawa ku dlm pelangi
Melepasi segala hati ini
Sesunguhnya kita mestilah
Wujudkan sefahaman dan hormatmu
Hormati,ikhlas,kasih
Makin tak ada,bertemu semula
Awan yg mencas semesta
Menyampaikan pesan kesunyian kanda sendiri
Kesepian yg menyelubungi hari hariku
Disajikan doa2 ku kerana rindu
Yg menanti kau dtg dan pergi seperti mimpi2 ku,fantasiku
Bukan dongeng lagi sayup kedengaran
Disisi cuping,disetiap corong,lorong,yg lohong
Benar!ku tak bohong,bila hati menyanyi..
Bila rindu,terkenang mu siang terasa sayu
Syahdunya jiwaku bila malam,makin kelam
Ooohhohhoo
Aku merindu,sentuhan mu ku rasa sayu
Inginkan jiwa selubungi,jiwa ini,bawa ku dlm pelangi
Melepasi batas
Oh bila rindu,terkenang mu sayang.,ku terasa sayu
Syahdunya jiwaku bila malam,makin kelam
Jauh terbang diriku melayang
Aku rindu,sentuhan mu ku rasa sayu
(ku rindukan sentuhanmu)inginkan jiwamu selubungi,jiwa ini,bawa ku dlm pelangi
Melepasi batas diri ini"
